drug_id,drug_name,audit_category,consensus_score,consensus_std,gatekeeper_status,gatekeeper_novelty,resurrection_recommended,expert_disagreement,resurrection_rationale
NNRTI_001,Efavirenz,flagged,0.7488,0.2968,active,0.4583,False,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.22 (σ=0.297). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
NNRTI_003,Etravirine,flagged,0.7284,0.2931,active,0.4262,False,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.22 (σ=0.293). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
INSTI_001,Raltegravir,watchlist,0.7109,0.2165,active,0.4136,False,"Moderate uncertainty (σ=0.217), may improve with more data",Low consensus with unresolvable disagreement — needs more experimental data
PI_001,Ritonavir,flagged,0.6856,0.2628,active,0.4731,False,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.30 (σ=0.263). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
PI_002,Darunavir,flagged,0.6856,0.2628,active,0.4459,False,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.30 (σ=0.263). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
PI_003,Lopinavir,watchlist,0.6842,0.2453,active,0.4434,False,"Moderate uncertainty (σ=0.245), may improve with more data",Low consensus with unresolvable disagreement — needs more experimental data
NRTI_002,Lamivudine (3TC),flagged,0.6519,0.2763,active,0.464,False,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
NRTI_004,Emtricitabine (FTC),flagged,0.6519,0.2763,active,0.0,False,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
NNRTI_002,Nevirapine,flagged,0.6519,0.2763,active,0.3962,False,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
NRTI_001,Zidovudine (AZT),watchlist,0.6399,0.2253,active,1.0,False,"Moderate uncertainty (σ=0.225), may improve with more data",Low consensus with unresolvable disagreement — needs more experimental data
NRTI_003,Tenofovir Disoproxil,flagged,0.6283,0.285,active,0.4626,False,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.285). Possible data quality issue.",Low consensus with unresolvable disagreement — needs more experimental data
