sample_id,state_id,verdict,state_quality,state_noise,state_cercis,question_id,majority_correct,model_agreement_count,full_consensus,topic_id,model_0_correct,model_1_correct,model_2_correct,consensus_score
0,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,0,1,1,0,0,0,0,1,0.26703248458370776
1,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,1,1,2,0,1,1,1,0,0.4068508936982919
2,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,2,0,2,0,2,0,0,1,0.4532929336795741
3,0,ambiguous,0.0,0.0,0.0,3,1,3,1,3,1,1,1,0.5
4,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,4,1,2,0,4,1,1,0,0.5246924713522022
5,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,5,1,2,0,5,1,1,0,0.4068508936982919
6,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,6,1,2,0,6,0,1,1,0.475271132379957
7,5,ambiguous,0.28387559809324736,0.9580072203972533,0.3796763201329727,7,1,2,0,7,0,1,1,0.475271132379957
8,4,ambiguous,0.23598668297417635,1.7718691502114015,0.4131735979953165,8,1,1,0,0,0,1,0,0.2846600081537548
9,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,9,1,2,0,1,1,1,0,0.4068508936982919
10,0,ambiguous,0.0,0.0,0.0,10,1,3,1,2,1,1,1,0.5
11,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,11,1,2,0,3,1,0,1,0.5246924713522022
12,1,ambiguous,0.3827182760377378,1.0219630163294697,0.48491457767068474,12,1,2,0,4,1,0,1,0.5246924713522022
13,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,13,1,1,0,5,0,0,1,0.26703248458370776
14,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,14,1,1,0,6,0,0,1,0.26703248458370776
15,7,ambiguous,0.0,0.0,0.0,15,0,3,1,7,0,0,0,0.5
16,7,ambiguous,0.0,0.0,0.0,16,1,3,1,0,1,1,1,0.5
17,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,17,0,2,0,1,1,0,0,0.4068508936982919
18,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,18,1,2,0,2,1,0,1,0.4532929336795741
19,0,ambiguous,0.0,0.0,0.0,19,1,3,1,3,1,1,1,0.5
20,3,noisy,0.20073163583408216,1.1777424268256658,0.31850587851664874,20,1,1,0,4,1,0,0,0.26703248458370776
21,2,clean,0.23991920069248152,0.7252358410356786,0.31244278479604937,21,1,2,0,5,1,0,1,0.4532929336795741
22,6,ambiguous,0.1470351207299172,0.8321384625135353,0.23024896698127073,22,1,2,0,6,1,1,0,0.4068508936982919
